"","Var1","Var2","Freq"
"1","","    budget","Min.   :        0  "
"2","","    budget","1st Qu.:        0  "
"3","","    budget","Median :   500000  "
"4","","    budget","Mean   : 18551632  "
"5","","    budget","3rd Qu.: 20000000  "
"6","","    budget","Max.   :380000000  "
"7","","    budget",NA
"8","","   revenue","Min.   :0.000e+00  "
"9","","   revenue","1st Qu.:0.000e+00  "
"10","","   revenue","Median :1.631e+05  "
"11","","   revenue","Mean   :5.674e+07  "
"12","","   revenue","3rd Qu.:4.480e+07  "
"13","","   revenue","Max.   :2.847e+09  "
"14","","   revenue",NA
"15","","   runtime","Min.   :  0.0  "
"16","","   runtime","1st Qu.: 90.0  "
"17","","   runtime","Median :100.0  "
"18","","   runtime","Mean   :100.2  "
"19","","   runtime","3rd Qu.:113.0  "
"20","","   runtime","Max.   :400.0  "
"21","","   runtime","NA's   :1  "
"22","","  popularity","Min.   :    4.258  "
"23","","  popularity","1st Qu.:   14.578  "
"24","","  popularity","Median :   21.906  "
"25","","  popularity","Mean   :   51.394  "
"26","","  popularity","3rd Qu.:   40.654  "
"27","","  popularity","Max.   :11474.647  "
"28","","  popularity",NA
"29","","   voteAvg","Min.   : 1.300  "
"30","","   voteAvg","1st Qu.: 5.900  "
"31","","   voteAvg","Median : 6.500  "
"32","","   voteAvg","Mean   : 6.483  "
"33","","   voteAvg","3rd Qu.: 7.200  "
"34","","   voteAvg","Max.   :10.000  "
"35","","   voteAvg",NA
"36","","  voteCount","Min.   :    1  "
"37","","  voteCount","1st Qu.:  120  "
"38","","  voteCount","Median :  415  "
"39","","  voteCount","Mean   : 1342  "
"40","","  voteCount","3rd Qu.: 1316  "
"41","","  voteCount","Max.   :30788  "
"42","","  voteCount",NA
"43",""," genresAmount","Min.   : 0.000  "
"44",""," genresAmount","1st Qu.: 2.000  "
"45",""," genresAmount","Median : 3.000  "
"46",""," genresAmount","Mean   : 2.596  "
"47",""," genresAmount","3rd Qu.: 3.000  "
"48",""," genresAmount","Max.   :16.000  "
"49",""," genresAmount",NA
"50",""," actorsAmount","Min.   :     0  "
"51",""," actorsAmount","1st Qu.:    13  "
"52",""," actorsAmount","Median :    21  "
"53",""," actorsAmount","Mean   :  2148  "
"54",""," actorsAmount","3rd Qu.:    36  "
"55",""," actorsAmount","Max.   :919590  "
"56",""," actorsAmount",NA
"57","","castWomenAmount","Min.   :0.000e+00  "
"58","","castWomenAmount","1st Qu.:3.000e+00  "
"59","","castWomenAmount","Median :6.000e+00  "
"60","","castWomenAmount","Mean   :3.093e+42  "
"61","","castWomenAmount","3rd Qu.:1.000e+01  "
"62","","castWomenAmount","Max.   :3.093e+46  "
"63","","castWomenAmount",NA
"64","","castMenAmount","Min.   :0.000e+00  "
"65","","castMenAmount","1st Qu.:6.000e+00  "
"66","","castMenAmount","Median :1.100e+01  "
"67","","castMenAmount","Mean   :3.093e+57  "
"68","","castMenAmount","3rd Qu.:2.000e+01  "
"69","","castMenAmount","Max.   :3.093e+61  "
"70","","castMenAmount",NA
